YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W06,912,0,64,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W06,2,0,0,0,43200,AT,8901064,AT,Age80+,AZ,474047
2021-W07,21667,0,19645,0,80730,AT,8901064,AT,1_Age60+,COM,2259262
2021-W07,2344,0,19,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W07,2231,0,1,0,76800,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W07,1511,0,176,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W07,29001,0,1,0,76800,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W07,4147,0,18404,0,80730,AT,8901064,AT,1_Age<60,COM,5099181
2021-W07,3855,0,195,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W07,25814,0,38049,0,80730,AT,8901064,AT,ALL,COM,7358443
2021-W07,31232,0,2,0,76800,AT,8901064,AT,ALL,AZ,7358443
2021-W07,3547,0,0,0,76800,AT,8901064,AT,Age18_24,AZ,696064
2021-W07,68,0,21,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W07,259,0,1609,0,80730,AT,8901064,AT,Age18_24,COM,696064
2021-W07,16462,0,1,0,76800,AT,8901064,AT,Age25_49,AZ,3006228
2021-W07,2288,0,10257,0,80730,AT,8901064,AT,Age25_49,COM,3006228
2021-W07,795,0,106,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W07,644,0,49,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W07,1564,0,6508,0,80730,AT,8901064,AT,Age50_59,COM,1396889
2021-W07,8930,0,0,0,76800,AT,8901064,AT,Age50_59,AZ,1396889
2021-W07,2157,0,1,0,76800,AT,8901064,AT,Age60_69,AZ,1016016
2021-W07,504,0,6,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W07,1404,0,2621,0,80730,AT,8901064,AT,Age60_69,COM,1016016
2021-W07,2622,0,3011,0,80730,AT,8901064,AT,Age70_79,COM,769199
2021-W07,585,0,6,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W07,66,0,0,0,76800,AT,8901064,AT,Age70_79,AZ,769199
2021-W07,8,0,0,0,76800,AT,8901064,AT,Age80+,AZ,474047
2021-W07,17641,0,14013,0,80730,AT,8901064,AT,Age80+,COM,474047
2021-W07,1255,0,7,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W08,2630,0,1038,0,37200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W08,38447,0,5197,0,84240,AT,8901064,AT,1_Age60+,COM,2259262
2021-W08,4455,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W08,1691,0,2449,0,37200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W08,4023,0,10951,0,84240,AT,8901064,AT,1_Age<60,COM,5099181
2021-W08,50371,0,3,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W08,54826,0,3,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W08,42470,0,16148,0,84240,AT,8901064,AT,ALL,COM,7358443
2021-W08,4321,0,3487,0,37200,AT,8901064,AT,ALL,MOD,7358443
2021-W08,6813,0,1,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W08,232,0,871,0,84240,AT,8901064,AT,Age18_24,COM,696064
2021-W08,120,0,67,0,37200,AT,8901064,AT,Age18_24,MOD,696064
2021-W08,2081,0,5983,0,84240,AT,8901064,AT,Age25_49,COM,3006228
2021-W08,792,0,1471,0,37200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W08,28451,0,1,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W08,14990,0,1,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W08,1669,0,4047,0,84240,AT,8901064,AT,Age50_59,COM,1396889
2021-W08,775,0,910,0,37200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W08,4228,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W08,1836,0,1604,0,84240,AT,8901064,AT,Age60_69,COM,1016016
2021-W08,945,0,576,0,37200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W08,3546,0,1196,0,84240,AT,8901064,AT,Age70_79,COM,769199
2021-W08,901,0,162,0,37200,AT,8901064,AT,Age70_79,MOD,769199
2021-W08,210,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W08,33065,0,2397,0,84240,AT,8901064,AT,Age80+,COM,474047
2021-W08,784,0,300,0,37200,AT,8901064,AT,Age80+,MOD,474047
2021-W08,17,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W09,80397,0,5169,0,88920,AT,8901064,AT,1_Age60+,COM,2259262
2021-W09,4311,0,1129,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W09,5184,0,1,0,67200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W09,6646,0,7240,0,88920,AT,8901064,AT,1_Age<60,COM,5099181
2021-W09,2916,0,166,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W09,45651,0,1,0,67200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W09,7227,0,1295,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W09,87043,0,12409,0,88920,AT,8901064,AT,ALL,COM,7358443
2021-W09,50835,0,2,0,67200,AT,8901064,AT,ALL,AZ,7358443
2021-W09,5033,0,0,0,67200,AT,8901064,AT,Age18_24,AZ,696064
2021-W09,365,0,573,0,88920,AT,8901064,AT,Age18_24,COM,696064
2021-W09,262,0,5,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W09,2890,0,4002,0,88920,AT,8901064,AT,Age25_49,COM,3006228
2021-W09,25898,0,0,0,67200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W09,1456,0,94,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W09,14637,0,1,0,67200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W09,3322,0,2633,0,88920,AT,8901064,AT,Age50_59,COM,1396889
2021-W09,1187,0,67,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W09,4302,0,0,0,67200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W09,3901,0,1224,0,88920,AT,8901064,AT,Age60_69,COM,1016016
2021-W09,1114,0,26,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W09,2311,0,27,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W09,6801,0,1280,0,88920,AT,8901064,AT,Age70_79,COM,769199
2021-W09,744,0,1,0,67200,AT,8901064,AT,Age70_79,AZ,769199
2021-W09,886,0,1076,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W09,69695,0,2665,0,88920,AT,8901064,AT,Age80+,COM,474047
2021-W09,138,0,0,0,67200,AT,8901064,AT,Age80+,AZ,474047
2021-W10,11704,0,4,0,146400,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W10,4289,0,1298,0,49200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W10,86681,0,18854,0,190710,AT,8901064,AT,1_Age60+,COM,2259262
2021-W10,5646,0,2009,0,49200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W10,41482,0,4530,0,190710,AT,8901064,AT,1_Age<60,COM,5099181
2021-W10,54470,0,10,0,146400,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W10,128163,0,23384,0,190710,AT,8901064,AT,ALL,COM,7358443
2021-W10,9935,0,3307,0,49200,AT,8901064,AT,ALL,MOD,7358443
2021-W10,66174,0,14,0,146400,AT,8901064,AT,ALL,AZ,7358443
2021-W10,4733,0,1,0,146400,AT,8901064,AT,Age18_24,AZ,696064
2021-W10,4685,0,257,0,190710,AT,8901064,AT,Age18_24,COM,696064
2021-W10,565,0,75,0,49200,AT,8901064,AT,Age18_24,MOD,696064
2021-W10,22277,0,2534,0,190710,AT,8901064,AT,Age25_49,COM,3006228
2021-W10,3271,0,1132,0,49200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W10,32122,0,7,0,146400,AT,8901064,AT,Age25_49,AZ,3006228
2021-W10,1782,0,802,0,49200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W10,13352,0,1704,0,190710,AT,8901064,AT,Age50_59,COM,1396889
2021-W10,17512,0,2,0,146400,AT,8901064,AT,Age50_59,AZ,1396889
2021-W10,7886,0,3,0,146400,AT,8901064,AT,Age60_69,AZ,1016016
2021-W10,1514,0,263,0,49200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W10,13400,0,1336,0,190710,AT,8901064,AT,Age60_69,COM,1016016
2021-W10,2443,0,370,0,49200,AT,8901064,AT,Age70_79,MOD,769199
2021-W10,21930,0,2055,0,190710,AT,8901064,AT,Age70_79,COM,769199
2021-W10,3161,0,0,0,146400,AT,8901064,AT,Age70_79,AZ,769199
2021-W10,332,0,665,0,49200,AT,8901064,AT,Age80+,MOD,474047
2021-W10,657,0,1,0,146400,AT,8901064,AT,Age80+,AZ,474047
2021-W10,51351,0,15463,0,190710,AT,8901064,AT,Age80+,COM,474047
2021-W11,12794,0,5144,0,93600,AT,8901064,AT,1_Age60+,COM,2259262
2021-W11,5099,0,4,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W11,2129,0,667,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W11,2943,0,793,0,93600,AT,8901064,AT,1_Age<60,COM,5099181
2021-W11,11485,0,11,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W11,2216,0,930,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W11,16584,0,15,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W11,15737,0,5937,0,93600,AT,8901064,AT,ALL,COM,7358443
2021-W11,4345,0,1597,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W11,827,0,1,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W11,272,0,62,0,93600,AT,8901064,AT,Age18_24,COM,696064
2021-W11,314,0,32,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W11,1622,0,448,0,93600,AT,8901064,AT,Age25_49,COM,3006228
2021-W11,1261,0,541,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W11,6733,0,6,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W11,998,0,281,0,93600,AT,8901064,AT,Age50_59,COM,1396889
2021-W11,3908,0,4,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W11,632,0,357,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W11,487,0,118,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W11,1674,0,227,0,93600,AT,8901064,AT,Age60_69,COM,1016016
2021-W11,2203,0,3,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W11,922,0,157,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W11,4218,0,437,0,93600,AT,8901064,AT,Age70_79,COM,769199
2021-W11,1797,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W11,720,0,392,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W11,1099,0,1,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W11,6902,0,4480,0,93600,AT,8901064,AT,Age80+,COM,474047
2020-W53,611,,0,0,,BE,11522440,BE,1_Age60+,COM,2928626
2020-W53,183,,0,0,,BE,11522440,BE,1_Age<60,COM,6273570
2020-W53,794,,0,0,9750,BE,11522440,BE,ALL,COM,9202196
2020-W53,15,,0,0,,BE,11522440,BE,Age18_24,COM,930629
2020-W53,100,,0,0,,BE,11522440,BE,Age25_49,COM,3751281
2020-W53,68,,0,0,,BE,11522440,BE,Age50_59,COM,1591660
2020-W53,61,,0,0,,BE,11522440,BE,Age60_69,COM,1347513
2020-W53,76,,0,0,,BE,11522440,BE,Age70_79,COM,924351
2020-W53,474,,0,0,,BE,11522440,BE,Age80+,COM,656762
2020-W53,0,,0,0,,BE,11522440,BE,AgeUNK,COM,
2020-W53,210,,0,0,,BE,11522440,BE,HCW,COM,
2020-W53,584,,0,0,,BE,11522440,BE,LTCF,COM,
2021-W01,19870,,0,0,,BE,11522440,BE,1_Age60+,COM,2928626
2021-W01,6566,,0,0,,BE,11522440,BE,1_Age<60,COM,6273570
2021-W01,26436,,0,0,162825,BE,11522440,BE,ALL,COM,9202196
2021-W01,316,,0,0,,BE,11522440,BE,Age18_24,COM,930629
